bridge spider	# a large  often found on bridges and near water ().
Baltimore chop	# en A ball hit forcefully into the ground near home plate, producing a bounce high above the head of a fielder; technique that was intentionally employed during the  of Major League Baseball, but today occurs infrequently and usually unintentionally
bepiss	# en To urinate on.
Byzantism	# The study, or the use of elements of the Byzantine culture
blastozooid	# en A zooid produced by budding
butylhydroxytoluene	# en butylated hydroxytoluene|Butylated hydroxytoluene.
barbotine	# A soft clay used for moulding or decorating pottery
bricoleur	# en A person who constructs bricolages; one who creates using whatever materials are available.
Bajan	# Barbadian.
butter of antimony	# en antimony trichloride
biyearly	# Every two years; biennially# Twice per year; biannually
blennorrhagia	# Excessive blennorrhea, or mucous discharge, especially as seen in gonorrhea.
buclosamide	# An antifungal drug.Category:en:Drugs
buckbean	# ''Menyanthes trifoliata'', a plant with racemes of white or reddish flowers and intensely bitter leaves, sometimes used in medicine.#: ; 
bulldung	# en bullshit
bat-fowling	# The catching of small birds at night by lighting a fire near their roost, then scaring them awake whereupon they fly towards the flames and can be caught in nets on poles. <ref>''http://digicoll.library.wisc.edu/cgi-bin/HistSciTech/HistSciTech-idx?type=turn&entity=HistSciTech000900240240&isize=L bat-fowling]'', ''Cyclopaedia: or, An Universal Dictionary of Arts and Sciences (folio, 2 vols.)'', Ephraim Chambers. London 1728, p. 90.</ref><!-- Had a description from a Robert Graves short story here previously, but what he was describing was in Majorca and seemed a little different from this Cyclopaedia description. Believe Graves was describing only something similar rather than being authoritative on the term. -->
bulbule	# A small bulb; a bulblet.
brash ice	# A patch of accumulated small fragments of floating ice (less than about 2 metres big)
boyishness	# The characteristic of being boyish.
blue chamber	# en A forbidden room.Category:English eponymsCategory:en:Rooms
botryogen	# en A hydrous magnesium sulfate mineral.
blackballer	# One who blackballs, or casts a vote rejecting somebody.
brachyphalangia	# Unusual shortness of the phalanx of a finger or toe
bubbletop	# An automobile with a transparent dome on top, instead of the usual windows and roof.
benzohydroquinone	# en The aromatic diphenol, having a structure of hydroquinone with a fused benzene ring, obtained by the reduction of naphthoquinone
backstabbing	# The act of one who backstabs.
blue sky law	# en In the United States, a law that regulates the offering and sale of securities to protect the public from fraud, requiring the registration of all securities offerings and sales, as well as of stock brokers and brokerage firms.Category:en:Corporate law
broadhead	# en A flat arrowhead with razor-sharp sides, intended to kill prey by causing severe bleeding.
baritonal	# Pertaining to or having the character of a baritone|passage=Brian Stucki, a tenor,  brought an appealingly '''baritonal''' sound to Purcell’s Aeneas.}}
batch job	# en A series of instructions executed by the operating system.
bleeze	# en To blaze.
bopyroid	# Any isopod of the superfamily Category:en:Isopods
bugmail	# en A quantity of e-mail messages notifying of changes made in a bug tracker.#: ''I noticed this software change in my '''bugmail'''.''#: ''My inbox is flooded with '''bugmail'''; I need to set up a filter for it.''Category:en:Computing
balsam pear	# bitter melonCategory:en:Gourd family plants
begrimed	# dirty|Dirty, soiled, grimy.
Bulgarian Hound	# A breed of scenthound originating in Bulgaria.
brachylaimiasis	# en infection|Infection by trematode worms of genus .
bifrustum	# A polyhedron constructed from two congruent frustum|frusta combined across a plane of symmetry, or equivalently from a bipyramid with the two polar vertices truncated.
big-box	# en Of or relating to a very large retail establishment built as a massive, free-standing structure#: '''''Big-box''' retailers like Wal-Mart have driven local mom-and-pop stores out of business.''
businesslike	# methodical|Methodical and efficient, in a way that would be advantageous to a business or businessperson# earnest|Earnest and practical without being distracted or enthusiastic
biwa	# en A plucked lute, originating in the classical and traditional music of Japan, characterized by a pear-shaped body and four or five high frets, giving the instrument a distinctively twangy tone.
booyakasha	# en used to express triumph, normally if trying to appear "gangsta".
bowser	# en A fuel metering/delivery pump at a filling station.# A road vehicle (often a trailer) for the transport of liquid fuel, particularly aviation fuel at an airfield.# en A mobile water tank deployed to distribute fresh water in emergency situations where the normal system of piped distribution has broken down or is insufficient. <!--This may or may not have a different etymology--># en A buffoon or imbecile.
bounce around	# To discuss or brainstorm ideas on a topic.# To switch between jobs, locations and other situations often.Category:English phrasal verbsCategory:English phrasal verbs with particle (around)
boric oxide	# en A white solid, of empirical formula B<sub>2</sub>O<sub>3</sub>; it is an inorganic polymer used in making glass and enamel and for synthesizing other boron compounds.
blague	# mendacious boasting; falsehood; humbug
bufotalin	# en A cardiotoxic bufanolide steroid secreted by the  (''Bufo bufo'') and other related toads such as .
barrelled	# en having a barrel or specified number of barrels.#: ''a '''barrelled''' action''#: ''a double-'''barrelled''' shotgun''
bike jockey strap	# A jockstrap.
bowling figures	# en A group of statistics listed for each bowler in a single innings:- number of overs bowled, number of maiden overs bowled, number of runs conceded and number of wickets taken.# en collectively|Collectively the bowling figures for all the bowlers who bowled in an innings or match.
butylone	# ''β-keto-N-methylbenzodioxolylbutanamine'', an entactogen, psychedelic, and stimulant of the phenethylamine class.
bessemerize	# To convert iron to steel by the Bessemer process.
Bouyei	# A Tai ethnic group of southern China and northern Vietnam.
bitterling	# Any of various species of small cyprinid fish in the genus ''Rhodeus''.# Specifically , formerly called .
baresthesiometer	# An instrument for determining the delicacy of the sense of pressure.
bioecologist	# One who studies bioecology.
biasedness	# The property of being biased; partiality; bias.
bean flicking	# en Manually stimulating one's clitoris; female masturbation.
beefiness	# The characteristic of being beefy.
bewitcher	# One who bewitches; an enchanter.
bioinvasive	# Carrying out bioinvasion.
Billy Bunter	# en A fat boy.# en A punter (in a betting shop etc.).
bewitched	# under a spell|Under a spell; entranced.
bitboard	# en A specialized data structure, a bitset with each bit representing a game position or state, commonly used in computer systems that play board games.
butobarbitone	# butobarbital
bombesin	# en A neural oligopeptide that stimulates the release of gastrin.Category:English words suffixed with -in
Brahui	# A pastoral people of Eastern Baluchistan.
birdseller	# Someone who sells birds.Category:English 3-syllable wordsCategory:en:OccupationsCategory:en:People
biomining	# The use of microorganisms to extract ions from ores
beseechment	# The act of beseeching; earnest entreaty.#: 
burkaed	# Dressed in a burka.
bioreactive	# biologically or biochemically reactive|passage=During 15-day biodegradation experiments, DOM from the two pasture streams was altered to a greater extent than DOM from the forest streams, with formulas with H/C and O/C ranges similar to protein (H/C = 1.5–2.2, O/C = 0.3–0.67), lipid (H/C = 1.5–2.0, O/C = 0–0.3), and unsaturated hydrocarbon (H/C = 0.7–1.5, O/C = 0–0.1) being the most '''bioreactive''' groups.}}
Barcoo rot	# en An ulcerous skin condition, apparently endemic to tropical or desert climates.
beka	# an ancient Biblical unit of weight, half a shekel
black cohosh	# A smooth herb, ''Actaea racemosa'', marketed for medicinal use.
brachythoracid	# Any extinct placoderm of the suborder 
bagmaker	# A manufacturer of bags.
blubberingly	# With blubbering sounds; with broken or noisy sobs.
bass C	# en the C note exactly one octave below middle C
